,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,material.variable,response,material,variable
3723,5f5bc1037a4abb34a939eb9a,5b9588a921e7200001f59638,APPROVED,25:07.2,40:51.9,944.701,34,57:54.7,40D80FA4,United Kingdom,Female,1,"Sep 11, 2020 2:26:58 pm","Sep 11, 2020 2:40:50 pm",Complete,,,,English,,1599848818_5f5bc172d0c120.98838864,negative,present,5b9588a921e7200001f59638,michael_breakfast.response,Unsure.,michael_breakfast,response
3724,5f5bc1dec090eb355b1dade1,5cd02c98ec9cad001834e76a,APPROVED,28:52.0,37:35.9,523.956,27,57:58.4,40D80FA4,United Kingdom,Female,3,"Sep 11, 2020 2:29:02 pm","Sep 11, 2020 2:37:33 pm",Complete,,,,English,,1599848942_5f5bc1ee5b0c73.27485616,negative,present,5cd02c98ec9cad001834e76a,michael_breakfast.response,Michael felt depressed by his unhappy memories and decides to go back to bed.,michael_breakfast,response
3725,5f5bc29061200835226b4985,5f47d4ac5db4230d1d4a41b2,APPROVED,31:47.8,45:39.7,831.847,38,58:00.4,40D80FA4,United Kingdom,Male,4,"Sep 11, 2020 2:31:51 pm","Sep 11, 2020 2:45:37 pm",Complete,,,,English,,1599849111_5f5bc2978a4c36.08165653,negative,present,5f47d4ac5db4230d1d4a41b2,michael_breakfast.response,"Michaels flashback brought back a memory that he had suppressed and he had a panic attack, fainted and woke up minutes later in the floor.",michael_breakfast,response
3726,5f5bc29dc81d3636092e13bd,5f0098df68eebf076ed649a4,APPROVED,31:59.6,39:04.7,425.049,44,58:02.4,40D80FA4,United Kingdom,Male,5,"Sep 11, 2020 2:32:01 pm","Sep 11, 2020 2:39:02 pm",Complete,,,,English,,1599849121_5f5bc2a1c61665.48567357,negative,present,5f0098df68eebf076ed649a4,michael_breakfast.response,He had bad memories of having no money ,michael_breakfast,response
3727,5f5bc2c38ae8ac360d421d82,5ac888369534ba0001c763e1,APPROVED,32:42.9,42:33.9,590.935,49,58:04.5,40D80FA4,United Kingdom,Female,6,"Sep 11, 2020 2:32:45 pm","Sep 11, 2020 2:42:27 pm",Complete,,,,English,,1599849165_5f5bc2cd6931e3.59135886,negative,present,5ac888369534ba0001c763e1,michael_breakfast.response,Haven't a clue,michael_breakfast,response
3728,5f5bc2d1c1774d3675585d32,58eec4b09fbdde00011e95b0,APPROVED,39:08.8,52:15.1,786.352,30,58:06.5,40D80FA4,United Kingdom,Male,38,"Sep 11, 2020 2:39:10 pm","Sep 11, 2020 2:52:10 pm",Complete,,,,English,,1599849550_5f5bc44e936b21.12647266,negative,present,58eec4b09fbdde00011e95b0,michael_breakfast.response,his doorbell rings and an old friend is standing there.,michael_breakfast,response
3729,5f5bc2e228e7913657a6f586,57719c19b425c40001433b1f,APPROVED,33:12.6,54:12.6,1259.944,24,58:08.7,40D80FA4,United Kingdom,Female,7,"Sep 11, 2020 2:33:16 pm","Sep 11, 2020 2:54:08 pm",Complete,,,,English,,1599849196_5f5bc2eca81b85.66670942,negative,present,57719c19b425c40001433b1f,michael_breakfast.response,bang! someone breaks in through the back door. its a robbery,michael_breakfast,response
3730,5f5bc310f7a8c7368446ae73,56d1f9597bbc32000589a58d,APPROVED,33:56.7,41:37.7,461.036,57,58:10.8,40D80FA4,United Kingdom,Female,8,"Sep 11, 2020 2:33:58 pm","Sep 11, 2020 2:41:36 pm",Complete,,,,English,,1599849238_5f5bc316ca4fc5.78672144,negative,present,56d1f9597bbc32000589a58d,michael_breakfast.response,he got a letter in the post from an old friend,michael_breakfast,response
3731,5f5bc33de742b5368eb1fec9,5f219d5c62e3b6591773267f,APPROVED,34:40.4,01:40.4,1619.974,29,58:12.9,40D80FA4,United Kingdom,Female,9,"Sep 11, 2020 2:34:41 pm","Sep 11, 2020 3:01:37 pm",Complete,,,,English,,1599849281_5f5bc341b55a39.80856004,negative,present,5f219d5c62e3b6591773267f,michael_breakfast.response,He turns to get the milk out and finds the fridge door open. Everything is off. He can't have tea this morning. The cat has pulled the chicken out and looks very proud of himself for having a feast. ,michael_breakfast,response
3732,5f5bc34f1181c5355385f4f1,5f243136d49d850136696693,APPROVED,35:28.2,53:40.9,1092.755,22,58:15.0,40D80FA4,United States,Male,10,"Sep 11, 2020 2:35:30 pm","Sep 11, 2020 2:53:35 pm",Complete,,,,English,,1599849330_5f5bc3727e99a8.34376137,negative,present,5f243136d49d850136696693,michael_breakfast.response,He forgot to put water in the kettle.,michael_breakfast,response
3733,5f5bc37146d14235cf6b0999,5f49396f5324cf32b7bee64b,APPROVED,35:44.5,52:37.9,1013.319,27,58:16.9,40D80FA4,Ireland,Male,12,"Sep 11, 2020 2:35:47 pm","Sep 11, 2020 2:52:35 pm",Complete,,,,English,,1599849347_5f5bc383092900.60818315,negative,present,5f49396f5324cf32b7bee64b,michael_breakfast.response,"His lunatic ex calls him to tell him she is pregnant, and he's the father.",michael_breakfast,response
